id,district_id,name,bn_name,lat,lon,url
370,48,Munshiganj Sadar,মুন্সিগঞ্জ সদর,23.5533074,90.5342845,sadar.munshiganj.gov.bd
371,48,Sreenagar,শ্রীনগর,23.5436923,90.2920935,sreenagar.munshiganj.gov.bd
372,48,Sirajdikhan,সিরাজদিখান,23.5701134,90.383353,sirajdikhan.munshiganj.gov.bd
373,48,Louhajanj,লৌহজং,0.0,0.0,louhajanj.munshiganj.gov.bd
374,48,Gajaria,গজারিয়া,0.0,0.0,gajaria.munshiganj.gov.bd
375,48,Tongibari,টংগীবাড়ি,23.5102866,90.4659685,tongibari.munshiganj.gov.bd
376,49,Rajbari Sadar,রাজবাড়ী সদর,24.4186779,88.9952433,sadar.rajbari.gov.bd
377,49,Goalanda,গোয়ালন্দ,23.7240229,89.7466981,goalanda.rajbari.gov.bd
378,49,Pangsa,পাংশা,20.932643,101.786641,pangsa.rajbari.gov.bd
379,49,Baliakandi,বালিয়াকান্দি,23.6351881,89.5484979,baliakandi.rajbari.gov.bd
380,49,Kalukhali,কালুখালী,22.4038188,89.29452,kalukhali.rajbari.gov.bd
381,50,Madaripur Sadar,মাদারীপুর সদর,0.0,0.0,sadar.madaripur.gov.bd
382,50,Shibchar,শিবচর,23.34728,90.1697226,shibchar.madaripur.gov.bd
383,50,Kalkini,কালকিনি,23.0781315,90.2217374,kalkini.madaripur.gov.bd
384,50,Rajoir,রাজৈর,23.2274475,90.0212501,rajoir.madaripur.gov.bd
385,51,Gopalganj Sadar,গোপালগঞ্জ সদর,26.4607585,84.447083,sadar.gopalganj.gov.bd
386,51,Kashiani,কাশিয়ানী,23.23649,89.7204523,kashiani.gopalganj.gov.bd
387,51,Tungipara,টুংগীপাড়া,22.8899555,89.8973824,tungipara.gopalganj.gov.bd
388,51,Kotalipara,কোটালীপাড়া,22.9872531,90.0049273,kotalipara.gopalganj.gov.bd
389,51,Muksudpur,মুকসুদপুর,23.3146905,89.8696769,muksudpur.gopalganj.gov.bd
390,52,Faridpur Sadar,ফরিদপুর সদর,25.2716389,82.9215409,sadar.faridpur.gov.bd
391,52,Alfadanga,আলফাডাঙ্গা,23.3276949,89.6979469,alfadanga.faridpur.gov.bd
392,52,Boalmari,বোয়ালমারী,23.3854562,89.681615,boalmari.faridpur.gov.bd
393,52,Sadarpur,সদরপুর,24.1882055,72.4537681,sadarpur.faridpur.gov.bd
394,52,Nagarkanda,নগরকান্দা,23.2956801,89.6849805,nagarkanda.faridpur.gov.bd
395,52,Bhanga,ভাঙ্গা,23.389150299999997,89.98507144738963,bhanga.faridpur.gov.bd
396,52,Charbhadrasan,চরভদ্রাসন,23.562251,90.007978,charbhadrasan.faridpur.gov.bd
397,52,Madhukhali,মধুখালী,23.5277739,89.6499821,madhukhali.faridpur.gov.bd
398,52,Saltha,সালথা,0.0,0.0,saltha.faridpur.gov.bd
399,53,Panchagarh Sadar,পঞ্চগড় সদর,26.377443200000002,88.5995033705114,panchagarhsadar.panchagarh.gov.bd
400,53,Debiganj,দেবীগঞ্জ,26.1201935,88.759245,debiganj.panchagarh.gov.bd
401,53,Boda,বোদা,46.0808583,18.0478346,boda.panchagarh.gov.bd
402,53,Atwari,আটোয়ারী,26.2766594,88.41221130974195,atwari.panchagarh.gov.bd
403,53,Tetulia,তেতুলিয়া,26.52133965,88.42037208062746,tetulia.panchagarh.gov.bd
404,54,Nawabganj,নবাবগঞ্জ,26.92228995,81.207643234204,nawabganj.dinajpur.gov.bd
405,54,Birganj,বীরগঞ্জ,27.012541,84.877998,birganj.dinajpur.gov.bd
406,54,Ghoraghat,ঘোড়াঘাট,25.2660298,89.2599561,ghoraghat.dinajpur.gov.bd
407,54,Birampur,বিরামপুর,25.3905537,88.991278,birampur.dinajpur.gov.bd
408,54,Parbatipur,পার্বতীপুর,27.5964695,84.3296754652951,parbatipur.dinajpur.gov.bd
409,54,Bochaganj,বোচাগঞ্জ,25.8566506,88.4112167,bochaganj.dinajpur.gov.bd
410,54,Kaharol,কাহারোল,25.7553705,88.673315,kaharol.dinajpur.gov.bd
411,54,Fulbari,ফুলবাড়ী,27.33597255,86.29639431433444,fulbari.dinajpur.gov.bd
412,54,Dinajpur Sadar,দিনাজপুর সদর,25.73013825,88.66729449905233,dinajpursadar.dinajpur.gov.bd
413,54,Hakimpur,হাকিমপুর,23.7027202,89.3092608,hakimpur.dinajpur.gov.bd
414,54,Khansama,খানসামা,25.9139671,88.7509881,khansama.dinajpur.gov.bd
415,54,Birol,বিরল,26.2646512,73.9114237,birol.dinajpur.gov.bd
416,54,Chirirbandar,চিরিরবন্দর,25.6458795,88.7758409,chirirbandar.dinajpur.gov.bd
417,55,Lalmonirhat Sadar,লালমনিরহাট সদর,25.89377595,89.47057479825597,sadar.lalmonirhat.gov.bd
418,55,Kaliganj,কালীগঞ্জ,23.71167265,88.28976333184055,kaliganj.lalmonirhat.gov.bd
419,55,Hatibandha,হাতীবান্ধা,24.218654,90.1370877,hatibandha.lalmonirhat.gov.bd
420,55,Patgram,পাটগ্রাম,26.3457861,89.0208507,patgram.lalmonirhat.gov.bd
421,55,Aditmari,আদিতমারী,25.9222534,89.350972,aditmari.lalmonirhat.gov.bd
422,56,Syedpur,সৈয়দপুর,19.6232969,78.7357897,syedpur.nilphamari.gov.bd
423,56,Domar,ডোমার,26.106193,88.8234458,domar.nilphamari.gov.bd
424,56,Dimla,ডিমলা,26.1514842,88.9204636,dimla.nilphamari.gov.bd
425,56,Jaldhaka,জলঢাকা,26.2003292,89.3021954,jaldhaka.nilphamari.gov.bd
426,56,Kishorganj,কিশোরগঞ্জ,24.3036399,90.7702615,kishorganj.nilphamari.gov.bd
427,56,Nilphamari Sadar,নীলফামারী সদর,0.0,0.0,nilphamarisadar.nilphamari.gov.bd
428,57,Sadullapur,সাদুল্লাপুর,23.9912624,89.3788281,sadullapur.gaibandha.gov.bd
429,57,Gaibandha Sadar,গাইবান্ধা সদর,0.0,0.0,gaibandhasadar.gaibandha.gov.bd
430,57,Palashbari,পলাশবাড়ী,25.9850684,88.8415049,palashbari.gaibandha.gov.bd
431,57,Saghata,সাঘাটা,0.0,0.0,saghata.gaibandha.gov.bd
432,57,Gobindaganj,গোবিন্দগঞ্জ,25.1339117,89.3857832,gobindaganj.gaibandha.gov.bd
433,57,Sundarganj,সুন্দরগঞ্জ,25.5669663,89.5227662,sundarganj.gaibandha.gov.bd
434,57,Phulchari,ফুলছড়ি,0.0,0.0,phulchari.gaibandha.gov.bd
435,58,Thakurgaon Sadar,ঠাকুরগাঁও সদর,26.0340069,88.46267942449194,thakurgaonsadar.thakurgaon.gov.bd
436,58,Pirganj,পীরগঞ্জ,25.416289,89.3164095,pirganj.thakurgaon.gov.bd
437,58,Ranisankail,রাণীশংকৈল,25.9015206,88.2543889,ranisankail.thakurgaon.gov.bd
438,58,Haripur,হরিপুর,27.0138578,85.54177236226059,haripur.thakurgaon.gov.bd
439,58,Baliadangi,বালিয়াডাঙ্গী,26.0856143,88.2764013,baliadangi.thakurgaon.gov.bd
440,59,Rangpur Sadar,রংপুর সদর,25.89377595,89.47057479825597,rangpursadar.rangpur.gov.bd
441,59,Gangachara,গংগাচড়া,25.8054979,89.2372064,gangachara.rangpur.gov.bd
442,59,Taragonj,তারাগঞ্জ,25.0841982,90.1958111,taragonj.rangpur.gov.bd
443,59,Badargonj,বদরগঞ্জ,25.7434139,89.2300546,badargonj.rangpur.gov.bd
444,59,Mithapukur,মিঠাপুকুর,22.3569672,90.34863155532024,mithapukur.rangpur.gov.bd
445,59,Pirgonj,পীরগঞ্জ,22.5265014,90.7296145,pirgonj.rangpur.gov.bd
446,59,Kaunia,কাউনিয়া,25.7733094,89.4190381,kaunia.rangpur.gov.bd
447,59,Pirgacha,পীরগাছা,25.6621356,89.4082601,pirgacha.rangpur.gov.bd
448,60,Kurigram Sadar,কুড়িগ্রাম সদর,25.8112019,89.6144683,kurigramsadar.kurigram.gov.bd
449,60,Nageshwari,নাগেশ্বরী,25.9681024,89.6895759,nageshwari.kurigram.gov.bd
450,60,Bhurungamari,ভুরুঙ্গামারী,26.1104617,89.6638474,bhurungamari.kurigram.gov.bd
